,C1,C2,C3,C4,C5,C6,C7,C8
distance_from_home,0.045924720637453925,0.280597059590758,0.5912337118438803,0.6366120318252972,0.9043755885108828,0.9112694558001588,1.0039361486335665,1.01010101010101
distance_from_last_transaction,0.45544866572138204,0.4613410987385973,0.4686032160983612,0.5840854417982073,0.5899569200646704,0.8671567832387705,0.9523668631096555,1.0101010101010088
ratio_to_median_purchase_price,0.4049555971422166,0.45213417697809055,0.5911189819959572,0.6810422973788924,0.6814614718615549,0.925672047195952,0.9266436293644799,1.0101010101010108
repeat_retailer,0.03415765431945149,0.4943345385459595,0.5922294494540805,0.6193637214751057,0.675431064048825,0.8585167448383638,1.0094606652292053,1.0101010101010106
used_chip,0.11518229425859595,0.26170499456317464,0.41459078410586275,0.8177075824987572,0.8438648785437227,0.887914350335607,1.009295811919758,1.0101010101010097
used_pin_number,0.10413852325788754,0.16504096659841352,0.27546671182874805,0.4811121477802649,0.9559529622386307,1.0092800762430725,1.0098548553970876,1.0101010101010115
online_order,0.09926846171541495,0.47234951776980694,0.6310885443661309,0.7129622535667127,0.7916896074216501,0.8077785255508793,0.9960779028568386,1.0101010101010108
fraud,0.7165529895292756,0.7259279175766314,0.8117493392808103,0.8117566734899964,0.8162889014641921,0.8165167155313114,0.8227777432455499,1.0101010101010075
