,distance_from_home,distance_from_last_transaction,ratio_to_median_purchase_price,repeat_retailer,used_chip,used_pin_number,online_order,fraud
distance_from_home,0.9999999999999998,-0.0529476194109148,-0.11597289335609104,0.11529856319241628,0.16462644863679918,0.10226502331957117,-0.04742711272519295,-0.015125736666396257
distance_from_last_transaction,-0.0529476194109148,1.0,0.1429105586322526,0.06932098696510103,-0.16267846321364732,-0.08754157228126644,0.11721062144528185,0.48387525741632675
ratio_to_median_purchase_price,-0.11597289335609105,0.1429105586322526,1.0,-0.008506198759631274,-0.08159085818178799,-0.13617939635125897,-0.004063232489176203,0.49403395974540193
repeat_retailer,0.11529856319241628,0.06932098696510103,-0.008506198759631274,1.0,-0.021787514938070025,0.004384194184960667,0.2552251749888204,0.08695652173913042
used_chip,0.16462644863679918,-0.16267846321364732,-0.08159085818178799,-0.021787514938070025,0.9999999999999999,0.09917777438300192,0.06951871657754004,-0.13383759176242976
used_pin_number,0.10226502331957117,-0.08754157228126644,-0.13617939635125897,0.004384194184960666,0.09917777438300192,1.0,-0.036407031102620994,-0.11398904880897924
online_order,-0.04742711272519295,0.11721062144528184,-0.004063232489176203,0.2552251749888204,0.06951871657754004,-0.036407031102620994,1.0,0.21165014511267985
fraud,-0.015125736666396258,0.4838752574163268,0.49403395974540193,0.08695652173913042,-0.1338375917624298,-0.11398904880897924,0.21165014511267985,1.0
