,C1,C2,C3,C4,C5,C6,C7,C8
distance_from_home,-0.214300538117509,0.48442991129089463,0.5573478736418775,-0.21302187676719236,-0.5174587487767364,0.08302931584251434,0.30441204449464176,-0.07851663178870737
distance_from_last_transaction,0.6748693693755718,0.07676218481267505,0.08521805770940755,-0.3398267583635021,0.0766255718834324,0.5264977333038577,-0.2919076564101821,-0.2402793103688983
ratio_to_median_purchase_price,0.6363612159318138,-0.21720630708124936,0.37280665903101395,0.29987216506860925,0.020473751064778237,-0.49417666409331495,0.031170212840592685,-0.2888899111020163
repeat_retailer,0.184817895019534,0.6783633865609995,-0.31288162443346057,-0.1647248372924531,-0.2367854357297328,-0.4278851256932622,-0.38851501951770356,0.0253050364908892
used_chip,-0.33938517094681075,0.38278283700367066,0.39100612468692625,0.6349147961678752,0.16173217380894095,0.20987966026245658,-0.3483984236246641,0.02837601418895703
used_pin_number,-0.3227050096572527,0.24678420399313644,0.33230369427728984,-0.4534814615301455,0.6890869425974967,-0.23092664204123756,0.02397455221719686,-0.01568931814719374
online_order,0.31506897929725636,0.6108036149650655,-0.39842066537307524,0.28613582299422385,0.28058395152776877,0.12684209919907988,0.4339347615782347,-0.11841920133226756
fraud,0.8464945301236598,0.0968242120926158,0.29295293428156477,0.0027081745117584124,0.06732182390722748,0.015093510761893737,0.07912665615479053,0.4328085799235705
