,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8
0,0.13338227833637237,0.005337352273011402,0.2238714494862906,0.12352710940920054,0.11776413279462324,0.009751635779797804,0.38371359503822255,0.0026524468824814917
1,0.04294983359781915,0.3486987665051043,0.02187761008328747,0.12759830851793086,0.20576743979951287,0.09680195718583044,0.12994686181215387,0.026359222498361118
2,0.0047502539121411025,0.014427716654514512,0.844984126489865,0.012628087208482193,0.008931900023387191,0.001689304407705932,0.10633151190612578,0.006257099397778435
3,0.07428893118633749,0.2249446712131563,0.07579583281409531,0.36393547649936414,0.019892477373551376,0.14482038987197002,0.09067500372541346,0.005647217316111797
4,0.01172970775492056,0.24147628520393732,0.007827409226831599,0.6749178831100172,3.450866756684724e-05,5.6165426415533134e-05,0.017049283186584545,0.04690875742372629
5,0.03626172324815732,0.19457383493955518,0.06736945209038575,0.294066842994366,0.13291583470723067,0.016014575581947438,0.219342860078282,0.039454876360075615
6,0.00822159733758806,0.015251058500286591,0.841778552154556,0.016143344366966562,0.007428853443004179,0.005728242034516569,0.09413815792333924,0.01131019423974273
7,0.11124812415074653,0.017634672177167115,0.04563949553166562,0.40875377417331726,0.20531275267697965,0.17344697136196935,0.0331766454561119,0.004787564472042583
8,0.034625253034005814,0.7331567592718706,0.051108882236437565,5.678060876481451e-05,0.003027642735430927,0.09730181103279101,0.08068130309448807,4.1567986211157203e-05
9,0.13366924171464026,0.0003796495624195014,0.40342290539877346,0.013530024691898082,0.008850002037386968,0.15344454742581717,0.1346110508438445,0.15209257832522002
10,0.06606685549476227,0.23165316612054682,0.02673937217051182,0.5857587688297929,0.009707930343455051,0.03060418349282332,0.04946964217206733,8.137604054382775e-08
11,0.04813830826407503,0.21853577415683617,0.018771960352729912,0.6347490621351984,0.010777949260750546,0.017401499803709072,0.049969305889162784,0.0016561401375380818
12,0.07270942207949908,0.15527592759558245,0.3405941060616494,0.02267122673111304,0.3476545718761842,0.01297196012806624,0.04358288585160938,0.00453989967629614
13,0.932784516810089,3.369442011830866e-05,0.0576850384817687,2.5602469876624796e-07,0.0071400689044840895,0.0019489905306694867,0.00014585229945938603,0.00026158252871225996
14,0.1319079571077517,0.0016332456930829061,0.2441898759096652,0.03396201029283195,0.012527968833668473,0.25506629666747893,0.15190915200117275,0.168803493494348
15,0.1979299211077086,0.43635854342384767,0.20506273407906275,0.027213804771721934,0.11523857665210492,0.0004067545796346675,0.01568547661478407,0.0021041887711354137
16,0.13419913812401146,0.03819970779227977,0.015565753891569495,0.25832686715713254,0.5148382736512026,0.005221623720283329,0.007156297322355072,0.026492338341165548
17,0.0006838673253338409,0.40792808408472925,0.008180292930873016,0.12166997047185553,0.16721243646558417,0.10268862098528084,0.19163292130275802,3.8064335851799567e-06
18,0.43298851571278185,0.0013521297381079876,0.11135196557622182,0.03585622655082257,2.0920115895190986e-05,0.032453872752743675,0.001674326047627653,0.3843020435057993
19,0.1020068079688462,0.24430892978849805,0.07106526838083034,0.184366164740169,0.16507327570028715,0.009862494639627972,0.133387698417265,0.08992936036447631
20,0.14330746387151594,0.00023406267598054072,0.27008210186552833,0.0912331611964492,0.15958783719261296,0.0030057178660899716,0.3309789555940588,0.0015706997377642133
21,0.049437918416622186,0.2974696413014488,0.05346019266124775,0.19632311318264165,0.16649736631595738,0.014320207370696688,0.17874672371463998,0.04374483703674564
22,0.08508779171614513,0.6361116139728052,0.02070791933252079,0.0021144075903452727,0.0020551192877582723,0.16009405387873937,0.07926752735419995,0.014561566867485786
23,0.16603419177943335,0.008548814764541028,0.023407564019676932,0.46151569710278617,0.18697378002608891,0.09856538122356626,0.0320519728632204,0.022902598220686875
24,0.7632909148530062,0.01247616670279847,0.005083566996078104,0.04744423213502754,0.007941842123593631,0.11086246055491351,0.005822778843266537,0.04707803779131608
25,0.011751890489467757,0.028365277818290763,0.7692896549986905,0.01938971641122347,0.02312995799314945,0.003544233358182973,0.13655720266286417,0.007972066268130806
26,0.001926592151750431,0.41320921305034164,0.005089773699758828,0.09394226153190738,0.17497379143867503,0.1519279397598568,0.1588590828381067,7.134552960325036e-05
27,0.03277031587519408,0.08927614871090707,0.49510240844279757,0.04597694678562385,0.09686600959112428,0.012612638430240419,0.2212688691881572,0.006126662975955543
28,0.008523217865418667,0.1771438539779924,0.006096202621060387,0.4285287726459953,0.03154438598195314,0.0996479298953138,0.16428137720094335,0.08423425981132288
29,0.4854593296891178,0.013298253295558041,0.004814442423950921,0.1148189295469443,0.006878264378481812,0.3025734645028639,0.06250874795092706,0.009648568212156204
